steps,tol,time,valid_prob,best_prob,best_valid,best_cost,optimal_cost
1,0.1,10.894745111465454,0.0111,0.0286,False,nan,7.0
1,0.01,6.441032886505127,0.0031,0.0116,False,nan,7.0
1,0.001,4.176872968673706,0.0139,0.0168,False,nan,7.0
2,0.1,9.437003135681152,0.0193,0.0349,False,nan,7.0
2,0.01,6.049410104751587,0.0142,0.0096,False,nan,7.0
2,0.001,4.687294006347656,0.0926,0.0275,False,nan,7.0
3,0.1,5.808748722076416,0.0217,0.0769,False,nan,7.0
3,0.01,16.073303937911987,0.0212,0.0248,False,nan,7.0
3,0.001,9.329015254974365,0.0912,0.0267,False,nan,7.0
1,0.1,11.99245309829712,0.0185,0.0096,False,nan,7.0
1,0.01,4.7640061378479,0.0141,0.0449,False,nan,7.0
1,0.001,17.919413089752197,0.0438,0.0186,False,nan,7.0
2,0.1,18.515140056610107,0.0406,0.0181,False,nan,7.0
2,0.01,19.793623208999634,0.0452,0.023,True,7.0,7.0
2,0.001,7.950491905212402,0.0225,0.0145,False,nan,7.0
3,0.1,5.2384302616119385,0.0252,0.0141,False,nan,7.0
3,0.01,20.11501908302307,0.0278,0.0143,False,nan,7.0
3,0.001,15.837005138397217,0.0431,0.018,False,nan,7.0
1,0.1,24.05622696876526,0.0376,0.0197,True,7.0,7.0
1,0.01,6.372751235961914,0.0138,0.0344,False,nan,7.0
1,0.001,2.8685600757598877,0.1208,0.0284,True,9.0,7.0
2,0.1,6.231333255767822,0.0321,0.0398,False,nan,7.0
2,0.01,6.9734227657318115,0.0062,0.0315,False,nan,7.0
2,0.001,10.222483158111572,0.0128,0.0137,False,nan,7.0
3,0.1,7.7343971729278564,0.0083,0.0067,False,nan,7.0
3,0.01,9.382187843322754,0.0564,0.043,False,nan,7.0
3,0.001,8.173220872879028,0.0416,0.0176,True,7.0,7.0
1,0.1,5.021524906158447,0.0086,0.0123,False,nan,7.0
1,0.01,7.951606750488281,0.0277,0.0112,False,nan,7.0
1,0.001,11.461082935333252,0.0334,0.0151,False,nan,7.0
2,0.1,12.67658805847168,0.0183,0.011,False,nan,7.0
2,0.01,15.653004884719849,0.0244,0.072,False,nan,7.0
2,0.001,7.930178165435791,0.0526,0.0166,False,nan,7.0
3,0.1,8.594732999801636,0.0527,0.0363,False,nan,7.0
3,0.01,6.654453992843628,0.0388,0.0176,False,nan,7.0
3,0.001,9.77893614768982,0.0427,0.014,False,nan,7.0
1,0.1,31.144893169403076,0.0033,0.286,False,nan,7.0
1,0.01,8.174696922302246,0.0137,0.0142,False,nan,7.0
1,0.001,8.729706048965454,0.0329,0.0161,True,9.0,7.0
2,0.1,10.388370752334595,0.0105,0.0101,False,nan,7.0
2,0.01,15.530816078186035,0.0131,0.0133,False,nan,7.0
2,0.001,10.609181880950928,0.0365,0.0161,True,9.0,7.0
3,0.1,15.631439924240112,0.0114,0.0106,False,nan,7.0
3,0.01,56.52538013458252,0.0289,0.0105,False,nan,7.0
3,0.001,13.454436779022217,0.0144,0.0106,False,nan,7.0
1,0.1,6.514833927154541,0.0828,0.0219,True,8.0,7.0
1,0.01,11.27022123336792,0.0745,0.0696,True,7.0,7.0
1,0.001,17.46690320968628,0.0536,0.0163,False,nan,7.0
2,0.1,8.40329098701477,0.0124,0.0087,False,nan,7.0
2,0.01,12.301151990890503,0.0273,0.0134,False,nan,7.0
2,0.001,16.658935070037842,0.022,0.0109,True,7.0,7.0
3,0.1,11.19784688949585,0.0358,0.0169,True,9.0,7.0
3,0.01,9.671009063720703,0.1603,0.0376,True,7.0,7.0
3,0.001,9.662983894348145,0.0824,0.0233,False,nan,7.0
1,0.1,11.410449028015137,0.016,0.0145,False,nan,7.0
1,0.01,13.300405979156494,0.0405,0.0156,False,nan,7.0
1,0.001,13.18234395980835,0.0195,0.0561,False,nan,7.0
2,0.1,16.47812795639038,0.0121,0.0106,False,nan,7.0
2,0.01,7.790840148925781,0.0239,0.0333,False,nan,7.0
2,0.001,10.774567127227783,0.0043,0.2885,False,nan,7.0
3,0.1,12.958477973937988,0.0158,0.0331,False,nan,7.0
3,0.01,16.896029949188232,0.0218,0.0185,False,nan,7.0
3,0.001,9.213883876800537,0.0133,0.0113,False,nan,7.0
1,0.1,5.677675008773804,0.0108,0.0112,False,nan,7.0
1,0.01,7.504256963729858,0.0288,0.0138,False,nan,7.0
1,0.001,9.56449007987976,0.0132,0.0131,False,nan,7.0
2,0.1,8.448423147201538,0.0222,0.0125,False,nan,7.0
2,0.01,8.622471809387207,0.0118,0.0111,False,nan,7.0
2,0.001,6.498055934906006,0.0321,0.0114,False,nan,7.0
3,0.1,8.787331819534302,0.015,0.0443,False,nan,7.0
3,0.01,11.953874826431274,0.0269,0.0093,True,8.0,7.0
3,0.001,11.356271743774414,0.0863,0.08,True,7.0,7.0
1,0.1,8.467578172683716,0.0114,0.0328,False,nan,7.0
1,0.01,9.823344230651855,0.028,0.0166,False,nan,7.0
